feb,258,41,95
feb,256,41,95
feb,248,41,95
feb,306,41,95
feb,307,41,95
feb,303,40,95
feb,252,40,95
feb,301,40,95
feb,249,40,95
feb,264,40,95
feb,243,40,95
feb,255,40,95
feb,245,40,95
feb,300,40,95
feb,290,40,95
feb,255,40,95
feb,254,40,95
feb,307,40,95
feb,265,40,95
feb,255,40,95
feb,229,40,95
feb,245,41,95
feb,245,41,95
feb,254,41,95
feb,306,41,95
feb,307,41,95
feb,304,41,95
feb,280,41,95
feb,282,41,95
feb,246,41,95
feb,242,41,95
feb,238,41,95
feb,237,40,95
feb,235,41,95
feb,236,40,95
feb,247,41,95
feb,14,41,95
feb,249,41,95
feb,249,41,95
feb,228,41,95
feb,247,40,95
feb,247,40,95
feb,226,40,95
feb,247,40,95
feb,246,41,95
feb,224,40,95
feb,248,40,95
feb,249,41,95
feb,301,41,95
feb,296,41,95
feb,264,41,95
feb,264,41,95
feb,303,48,95
feb,306,49,95
feb,306,46,95
feb,305,46,95
feb,304,44,95
feb,307,44,95
feb,305,43,95
feb,303,42,95
feb,303,42,95
feb,303,42,95
feb,308,41,95
feb,308,41,95
feb,306,41,95
feb,,40,95
